Product Group Level 4;Product Name;Store;Product;Quantity;Quantity Unit;Quantity Base
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Condor Stripe Toast;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010025;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Jolie Iran Black;1414 PLOVDIV KIKA GRUP TRANZITEN;31001010169;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Jolie Iran Grey;1414 PLOVDIV KIKA GRUP TRANZITEN;31001010170;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 London Cross;1406 PLOVDIV KIKA GRUP;31001010027;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 London Cross;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010027;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 London Cross;1410 PLOVDIV KIKA GRUP TRUD;31001010027;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Madrid Alloy;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010001;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Madrid Alloy;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010001;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Coffee/Lime;1406 PLOVDIV KIKA GRUP;31001010017;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Coffee/Lime;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010017;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Coffee/Lime;1410 PLOVDIV KIKA GRUP TRUD;31001010017;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Dots Black;1406 PLOVDIV KIKA GRUP;31001010026;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Dots Black;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010026;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Dots Black;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010026;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Dots Black;1410 PLOVDIV KIKA GRUP TRUD;31001010026;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Dots Black;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010026;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Fruit;1406 PLOVDIV KIKA GRUP;31001010019;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Fruit;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010019;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Lolli Sand;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010013;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Lolli Sand;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010013;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Petrol;1406 PLOVDIV KIKA GRUP;31001010015;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Petrol;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010015;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Petrol;1410 PLOVDIV KIKA GRUP TRUD;31001010015;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Plum;1406 PLOVDIV KIKA GRUP;31001010012;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Plum;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010012;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Smoke/Capri;1406 PLOVDIV KIKA GRUP;31001010016;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Smoke/Capri;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010016;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Malibu Smoke/Capri;1410 PLOVDIV KIKA GRUP TRUD;31001010016;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Priya Caviar/Banana;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010018;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Priya Caviar/Banana;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010018;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v 1 Priya Caviar/Banana;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010018;0;pcs;0
