Код на продукт Кика Груп Баркод;Баркод Кика;Part Number;Aktiven za Web;Aktiven za Web B2C;Product Name;Short Name;Measurement Unit;Broy v kashon;Shirina;Visochina;Dalzhina;Drug razmer;Marka;Model;Tsvyat;Tsvetna opakovka;Opisanie;Product Type;Intrastat Supplementary Unit;Minimal Sales Price Per Lot;Intrastat Commodity Code;Active;Enterprise Company
;3801001010206;31001010020;;;Kombinirana bebeshka kolichka 3 v 1 Shopper Wheel Red;;pcs;1;;;;;HAUCK;Shopper;Wheel Red;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010213;31001010021;;;Kombinirana bebeshka kolichka 3 v 1 Shopper Wheel Sand;;pcs;1;;;;;HAUCK;Shopper;Wheel Sand;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010220;31001010022;;;Kombinirana bebeshka kolichka 3 v 1 Shopper Caviar/Aqua;;pcs;1;;;;;HAUCK;Shopper;Caviar/Aqua;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010237;31001010023;;;Kombinirana bebeshka kolichka 3 v 1 Viper Caviar/Beige;;pcs;1;;;;;HAUCK;Viper;Caviar/Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010244;31001010024;;;Kombinirana bebeshka kolichka 3 v 1 Viper Smoke/Grey;;pcs;1;;;;;HAUCK;Viper;Smoke/Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010251;31001010025;;;Kombinirana bebeshka kolichka 3 v 1 Condor Stripe Toast;;pcs;1;;;;;HAUCK;Condor;Stripe Toast;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010268;31001010026;;;Kombinirana bebeshka kolichka 3 v 1 Malibu Dots Black;;pcs;1;;;;;HAUCK;Malibu;Dots Black;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010275;31001010027;;;Kombinirana bebeshka kolichka 3 v 1 London Cross;;pcs;1;;;;;HAUCK;London;Cross;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010282;31001010028;;;Kombinirana bebeshka kolichka 3 v 1 Twister Yellow Lime;;pcs;1;;;;;HAUCK;Twister;Yellow Lime;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010299;31001010029;;;Stroller 3 in 1 Ugo Pink;;pcs;1;;;;;KIKKABOO;Ugo;Pink;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010305;31001010030;;;Stroller 3 in 1 Ugo Beige;;pcs;1;;;;;KIKKABOO;Ugo;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010312;31001010031;;;Stroller 3 in 1 Ugo Blue;;pcs;1;;;;;KIKKABOO;Ugo;Blue;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010329;31001010032;;;Kolichka Malibu XL AIO Set Rock;;pcs;1;;;;;HAUCK;Malibu;Rock;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010336;31001010033;;;Kolichka Condor All In One CO-12 Red;;pcs;1;;;;;HAUCK;Condor;Red;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010343;31001010034;;;Kolichka Malibu Trio Set Trio Red;;pcs;1;;;;;HAUCK;Malibu;Red;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010350;31001010035;;;Kolichka Miami 4 Trio Set - Petrol/Grey ;;pcs;1;;;;;HAUCK;Malibu;Petrol/Grey;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010367;31001010036;;;Kombinirana bebeshka kolichka 3 v 1 Madrid Beige Melange /Silver frame/;;pcs;1;;;;;KIKKABOO;Madrid;Beige;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010374;31001010037;;;Kombinirana bebeshka kolichka 3 v 1 Madrid Blue;Bebeshka kolichka 3 v 1 Madrid All in one Blue;pcs;1;0,48;0,91;0,53;;KIKKABOO;Madrid;Blue;Не;"Олекотена  алуминиева рамка; Зимен кош, летен кош,столче за кола 0- 13кг; Включва матраче за коша за новородено и подложка за летния кош; Пет точков предпазен колан с меки подплънки";Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010381;31001010038;;;Baby stroller 3 in 1 Bali Blue Baltic / transf. seat / + adaptor/ car seat Bali Gray /;;pcs;1;;;;;KIKKABOO;Bali 3 в 1;Blue;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010398;31001010039;;;Baby stroller 3 in 1 Bali Gray Violet + adaptor / car seat Bali Gray /;;pcs;1;;;;;KIKKABOO;Bali 3 в 1;Gray Violet;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
